MetaCommand
\B 
\ 
\a 
\c 
\d 
\e 
\g 
\gf
\gm
\h 
\l 
\m 
\o 
\p 
\pb
\ps
\q 
\r 
\s 
\t 
\u 
\um 
\v 
\w 
\x 
\y 
