Type
t_CLOSURE
t_COL
t_COMPLEX
t_ERROR
t_FFELT
t_FRAC
t_INFINITY
t_INT
t_INTMOD
t_LIST
t_MAT
t_PADIC
t_POL
t_POLMOD
t_QFB
t_QUAD
t_REAL
t_RFRAC
t_SER
t_STR
t_VEC
t_VECSMALL
